Season,Stadium,City,State,Winner,Winner's Record (no superbowl),Winner Pts,Loser,Loser's Record (no superbowl),Loser Pts,Games Played (minus SB),W-L record,L-W record
1995,Sun Devil Stadium,Tempe,Arizona,Dallas Cowboys,14,27,Pittsburgh Steelers,13,17,18,1,-1
1996,Louisiana Superdome,New Orleans,Louisiana,Green Bay Packers,15,35,New England Patriots,13,21,18,2,-2
1997,Qualcomm Stadium,San Diego,California,Denver Broncos,15,31,Green Bay Packers,15,24,18,0,0
1998,Pro Player Stadium,Miami Gardens,Florida,Denver Broncos,16,34,Atlanta Falcons,16,19,18,0,0
1999,Georgia Dome,Atlanta,Georgia,St. Louis Rams,15,23,Tennessee Titans,16,16,18,-1,1
2000,Raymond James Stadium,Tampa,Florida,Baltimore Ravens,15,34,New York Giants,14,7,18,1,-1
2001,Louisiana Superdome,New Orleans,Louisiana,New England Patriots,13,20,St. Louis Rams,16,17,18,-3,3
2002,Qualcomm Stadium,San Diego,California,Tampa Bay Buccaneers,14,48,Oakland Raiders,13,21,18,1,-1
2003,Reliant Stadium,Houston,Texas,New England Patriots,16,32,Carolina Panthers,14,29,18,2,-2
2004,Alltel Stadium,Jacksonville,Florida,New England Patriots,16,24,Philadelphia Eagles,15,21,18,1,-1
2005,Ford Field,Detroit,Michigan,Pittsburgh Steelers,14,21,Seattle Seahawks,15,10,18,-1,1
2006,Dolphin Stadium,Miami Gardens,Florida,Indianapolis Colts,15,29,Chicago Bears,15,17,18,0,0
2007,University of Phoenix Stadium,Glendale,Arizona,New York Giants,13,17,New England Patriots,18,14,18,-5,5
2008,Raymond James Stadium,Tampa,Florida,Pittsburgh Steelers,14,27,Arizona Cardinals,12,23,18,2,-2
2009,Sun Life Stadium,Miami Gardens,Florida,New Orleans Saints,15,31,Indianapolis Colts,16,17,18,-1,1
2010,Cowboys Stadium,Arlington,Texas,Green Bay Packers,13,31,Pittsburgh Steelers,14,25,18,-1,1
2011,Lucas Oil Stadium,Indianapolis,Indiana,New York Giants,12,21,New England Patriots,15,17,18,-3,3
2012,Mercedes-Benz Superdome,New Orleans,Louisiana,Baltimore Ravens,13,34,San Francisco 49ers,13,31,18,0,0
2013,MetLife Stadium,East Rutherford,New Jersey,Seattle Seahawks,15,43,Denver Broncos,15,8,18,0,0
2014,University of Phoenix Stadium,Glendale,Arizona,New England Patriots,14,28,Seattle Seahawks,14,24,18,0,0
2015,Levi's Stadium,Santa Clara,California,Denver Broncos,14,24,Carolina Panthers,17,10,18,-3,3
2016,NRG Stadium,Houston,Texas,New England Patriots,16,34,Atlanta Falcons,13,28,18,3,-3
2017,U.S. Bank Stadium,Minneapolis,Minnesota,Philadelphia Eagles,15,41,New England Patriots,15,33,18,0,0
