Season,COWBOYS,STEELERS,PATRIOTS,BRONCOS,VIKINGS,DOLPHINS,49ERS,PACKERS,RAIDERS,COLTS,REDSKINS,RAMS,CHIEFS,EAGLES,BEARS,GIANTS,CHARGERS,TITANS,BILLS,JETS,SAINTS,FALCONS,BENGALS,SEAHAWKS,CARDINALS,LIONS,BROWNS,BUCCANEERS,RAVENS,PANTHERS,JAGUARS,TEXANS
1995,15,13,6,8,8,9,11,13,8,11,6,7,13,11,9,5,9,7,11,3,7,9,7,8,4,10,5,7,0,7,4,0
1996,11,11,13,13,9,8,13,16,7,9,9,6,9,10,7,6,8,8,10,1,3,3,8,7,7,5,0,6,4,13,11,0
1997,6,12,11,16,10,9,14,15,4,3,8,5,13,6,4,10,4,8,6,9,6,7,7,8,4,9,0,11,6,7,11,0
1998,10,7,9,17,16,11,13,11,8,3,6,4,7,3,4,8,5,8,10,13,6,16,3,8,10,5,0,8,6,4,12,0
1999,8,6,8,6,11,10,4,8,8,13,11,16,9,5,6,7,8,16,11,8,3,5,4,9,6,8,2,12,8,8,15,0
2000,5,9,5,11,12,12,6,9,13,10,8,10,7,12,5,14,1,13,8,9,11,4,4,6,3,9,3,10,16,7,7,0
2001,5,14,14,8,5,11,12,13,11,6,8,16,6,13,13,7,5,7,3,10,7,7,6,9,7,2,7,9,11,1,6,0
2002,5,11,9,9,6,9,11,12,13,10,7,7,8,13,4,10,8,12,8,10,9,10,2,7,5,3,9,15,7,7,6,4
2003,10,6,17,10,9,10,7,11,4,14,5,12,13,13,7,4,4,13,6,6,8,5,8,10,4,5,5,7,10,14,5,5
2004,6,16,17,10,9,4,2,10,5,13,6,9,7,15,5,6,12,5,9,11,8,12,8,9,6,6,4,5,9,7,9,7
2005,9,15,11,14,9,9,4,4,4,14,11,6,10,6,11,11,9,4,5,4,3,8,11,15,5,5,6,11,6,13,12,2
2006,9,8,14,9,6,6,7,8,2,16,5,8,9,11,15,8,14,8,7,10,11,7,8,10,5,3,4,4,13,8,8,6
2007,13,10,18,7,8,1,5,14,4,13,9,3,4,8,7,14,13,10,7,4,7,4,7,11,8,7,10,9,5,7,12,8
2008,9,15,11,8,10,11,7,6,5,12,8,2,2,11,9,12,9,13,7,9,8,11,4,4,12,0,4,9,13,12,5,8
2009,12,9,10,8,13,7,8,11,5,16,4,1,4,11,7,8,13,8,6,11,16,9,10,5,11,2,5,3,10,8,7,9
2010,6,14,14,4,6,7,6,14,8,10,6,7,10,10,12,10,9,6,4,13,11,13,4,8,5,6,5,10,13,2,8,6
2011,8,12,15,9,3,6,14,15,8,2,5,2,7,8,8,13,8,9,6,8,14,10,9,7,8,10,4,4,13,6,5,11
2012,8,8,13,13,10,7,13,12,4,11,10,7,2,4,10,9,7,6,6,6,7,14,10,12,5,4,5,7,14,7,2,13
2013,8,8,13,15,5,8,14,8,4,12,3,7,11,10,8,7,10,7,6,8,12,4,11,16,10,7,4,4,8,12,4,2
2014,13,11,15,12,7,8,8,13,3,13,4,6,9,10,5,6,9,2,9,4,7,6,10,14,11,11,7,2,11,8,3,9
2015,4,11,13,15,11,6,5,11,7,8,9,7,12,7,6,6,4,3,8,10,7,8,12,11,14,7,3,6,5,17,5,9
2016,13,13,17,9,8,10,2,12,12,8,8,4,12,7,3,11,5,9,7,5,7,13,6,11,7,9,1,9,8,6,3,10
2017,9,13,15,5,14,6,6,7,6,4,7,11,10,16,5,3,9,10,9,5,12,11,7,9,8,9,0,5,9,11,12,4
