Superbowl,Year,Arena,Capacity,Attendees,Home Viewer,Percent Filled
XXX,28-Jan-96,Sun Devil Stadium,56600,76347,"94,080,000",1.348886925795053
XXXI,26-Jan-97,Louisiana Superdome,74295,72301,"87,870,000",0.9731610471767952
XXXII,25-Jan-98,Qualcomm Stadium,70561,68912,"90,000,000",0.9766301497994643
XXXIII,31-Jan-99,Pro Player Stadium,65326,74803,"83,720,000",1.1450724060863975
XXXIV,30-Jan-00,Georgia Dome,92746,72625,"88,465,000",0.7830526383887175
XXXV,28-Jan-01,Raymond James Stadium,65890,71921,"84,335,000",1.0915313401123083
XXXVI,3-Feb-02,Louisiana Superdome,74295,72922,"86,801,000",0.9815196177400902
XXXVII,26-Jan-03,Qualcomm Stadium,70561,67603,"88,637,000",0.958078825413472
XXXVIII,1-Feb-04,Reliant Stadium,72220,71525,"89,795,000",0.9903766269731377
XXXIX,6-Feb-05,Alltel Stadium,67164,78125,"86,072,000",1.1631975463045678
XL,5-Feb-06,Ford Field ,65000,68206,"90,745,000",1.049323076923077
XLI,4-Feb-07,Dolphin Stadium,65326,74512,"93,184,000",1.1406178244496832
XLII,3-Feb-08,University of Phoenix Stadium,63400,71101,"97,448,000",1.1214668769716087
XLIII,1-Feb-09,Raymond James Stadium,65890,70774,"98,732,000",1.0741235392320534
XLIV,7-Feb-10,Sun Life Stadium,65326,74059,"106,476,000",1.1336833726234576
XLV,6-Feb-11,Cowboys Stadium,80000,103219,"111,010,000",1.2902375
XLVI,5-Feb-12,Lucas Oil Stadium,70000,68658,"111,346,000",0.9808285714285714
XLVII,3-Feb-13,Mercedes-Benz Superdome,71000,71024,"108,700,000",1.0003380281690142
XLVIII,2-Feb-14,MetLife Stadium,82500,82529,"111,500,000",1.0003515151515152
XLIX,1-Feb-15,University of Phoenix Stadium,63400,70288,"114,442,000",1.1086435331230284
L,7-Feb-16,Levi's Stadium,68500,71088,"111,900,000",1.0377810218978103
LI,5-Feb-17,NRG Stadium,72200,70807,"111,300,000",0.9807063711911357
LII,4-Feb-18,U.S. Bank Stadium,73000,67612,"103,400,000",0.9261917808219178
