Superbowl,Year,Arena,Capacity,Attendees,Home Viewer
I,15-Jan-67,Memorial Coliseum,78467,61946,24430000
II,14-Jan-68,Orange Bowl ,72319,75546,26750000
III,12-Jan-69,Orange Bowl ,72319,75389,39120000
IV,11-Jan-70,Tulane Stadium,80995,80562,41660000
V,17-Jan-71,Orange Bowl ,72319,79204,44270000
VI,16-Jan-72,Tulane Stadium,80995,81023,46040000
VII,14-Jan-73,Memorial Coliseum,78467,90182,56640000
VIII,13-Jan-74,Rice Stadium,70000,71882,53320000
IX,12-Jan-75,Tulane Stadium,30000,80997,51700000
X,18-Jan-76,Orange Bowl ,72319,80187,56050000
XI,9-Jan-77,Rose Bowl,90888,103438,57710000
XII,15-Jan-78,Superdome,74295,76400,62050000
XIII,21-Jan-79,Orange Bowl ,72319,79484,78940000
XIV,20-Jan-80,Rose Bowl,90888,103985,74740000
XV,25-Jan-81,Louisiana Superdome,74295,76135,76240000
XVI,24-Jan-82,Pontiac Silverdome,80311,81270,68290000
XVII,30-Jan-83,Rose Bowl,90888,103667,85240000
XVIII,22-Jan-84,Tampa Stadium,74301,72920,81770000
XIX,20-Jan-85,Stanford Stadium,60000,84059,77620000
XX,26-Jan-86,Louisiana Superdome,74295,73818,85530000
XXI,25-Jan-87,Rose Bowl,90888,101063,92570000
XXII,31-Jan-88,Jack Murphy Stadium,70561,73302,87190000
XXIII,22-Jan-89,Joe Robbie Stadium,65326,75129,80140000
XXIV,28-Jan-90,Louisiana Superdome,74295,72919,73852000
XXV,27-Jan-91,Tampa Stadium,74301,73813,79510000
XXVI,26-Jan-92,Metrodome,64111,63130,79590000
XXVII,31-Jan-93,Rose Bowl,90888,98374,90000000
XVIII,30-Jan-94,Georgia Dome,71228,72817,90000000
XXIX,29-Jan-95,Joe Robbie Stadium,65326,74107,83420000
XXX,28-Jan-96,Sun Devil Stadium,56600,76347,94080000
XXXI,26-Jan-97,Louisiana Superdome,74295,72301,87870000
XXXII,25-Jan-98,Qualcomm Stadium,70561,68912,90000000
XXXIII,31-Jan-99,Pro Player Stadium,65326,74803,83720000
XXXIV,30-Jan-00,Georgia Dome,92746,72625,88465000
XXXV,28-Jan-01,Raymond James Stadium,65890,71921,84335000
XXXVI,3-Feb-02,Louisiana Superdome,74295,72922,86801000
XXXVII,26-Jan-03,Qualcomm Stadium,70561,67603,88637000
XXXVIII,1-Feb-04,Reliant Stadium,72220,71525,89795000
XXXIX,6-Feb-05,Alltel Stadium,67164,78125,86072000
XL,5-Feb-06,Ford Field ,65000,68206,90745000
XLI,4-Feb-07,Dolphin Stadium,65326,74512,93184000
XLII,3-Feb-08,University of Phoenix Stadium,63400,71101,97448000
XLIII,1-Feb-09,Raymond James Stadium,65890,70774,98732000
XLIV,7-Feb-10,Sun Life Stadium,65326,74059,106476000
XLV,6-Feb-11,Cowboys Stadium,80000,103219,111010000
XLVI,5-Feb-12,Lucas Oil Stadium,70000,68658,111346000
XLVII,3-Feb-13,Mercedes-Benz Superdome,71000,71024,108700000
XLVIII,2-Feb-14,MetLife Stadium,82500,82529,111500000
XLIX,1-Feb-15,University of Phoenix Stadium,63400,70288,114442000
L,7-Feb-16,Levi's Stadium,68500,71088,111900000
LI,5-Feb-17,NRG Stadium,72200,70807,111300000
LII,4-Feb-18,U.S. Bank Stadium,73000,67612,103400000
